datetime,S01_E_004,S01_E_053,S01_E_054,S01_E_055,S01_E_051,S01_E_052,S02_E_246,S02_E_249,S02_E_247,S02_E_250,S02_E_248,S02_E_251,S02_E_252,S02_E_253,S02_E_254,S02_E_255,S01_E_021,S01_E_022,F26_E_259,F28_E_262,F25_E_256,F25_E_257,F26_E_258,F26_E_261,F28_E_264,F26_E_260,F28_E_263,S01_E_057,S02_E_015,S02_E_016,F16_E_154,F16_E_155,F17_E_169,F17_E_170,F16_E_150,F16_E_156,F16_E_157,F16_E_158,F17_E_165,F17_E_171,F17_E_172,F17_E_173,F16_E_144,F16_E_147,F16_E_149,F17_E_159,F17_E_162,F17_E_164,F16_E_148,F17_E_163,F16_E_145,F16_E_146,F17_E_160,F17_E_161,F16_E_151,F16_E_152,F16_E_153,F17_E_166,F17_E_167,F17_E_168,S01_E_001,S01_E_002,S01_E_003,S02_E_005,S02_E_006,S02_E_007,S02_E_008,S01_E_049,S01_E_050,S01_E_058,S01_E_041,S01_E_048,S01_E_056,S01_E_059,S01_E_060,S01_E_061,S01_E_062,S01_E_027,S01_E_028,S01_E_063,S01_E_064,S01_E_065,S01_E_066,S01_E_067,S01_E_068,F01_E_073,F02_E_078,F03_E_083,F04_E_088,F05_E_093,F06_E_098,F07_E_103,F08_E_108,F09_E_113,F10_E_118,F11_E_123,F12_E_128,F13_E_133,F14_E_138,F15_E_143,F18_E_178,F19_E_183,F20_E_188,F21_E_193,F22_E_198,F23_E_203,F24_E_208,F25_E_213,F26_E_218,F28_E_223,S01_E_042,S03_E_035,F00_E_044,F00_E_069,F00_E_070,F01_E_036,F01_E_037,F01_E_040,F01_E_072,F02_E_076,F02_E_077,F03_E_081,F03_E_082,F04_E_086,F04_E_087,F05_E_091,F05_E_092,F06_E_096,F06_E_097,F07_E_101,F07_E_102,F08_E_106,F08_E_107,F09_E_111,F09_E_112,F10_E_116,F10_E_117,F11_E_121,F11_E_122,F12_E_126,F12_E_127,F13_E_131,F13_E_132,F14_E_136,F14_E_137,F15_E_141,F15_E_142,F18_E_176,F18_E_177,F19_E_181,F19_E_182,F20_E_186,F20_E_187,F21_E_191,F21_E_192,F22_E_196,F22_E_197,F23_E_201,F23_E_202,F24_E_206,F24_E_207,F25_E_211,F25_E_212,F26_E_216,F26_E_217,F27_E_221,F27_E_222,F28_E_225,F00_E_013,F00_E_014,F01_E_038,F01_E_039,F01_E_071,F02_E_074,F02_E_075,F03_E_079,F03_E_080,F04_E_084,F04_E_085,F05_E_089,F05_E_090,F06_E_094,F06_E_095,F07_E_099,F07_E_100,F08_E_104,F08_E_105,F09_E_109,F09_E_110,F10_E_114,F10_E_115,F11_E_119,F11_E_120,F12_E_124,F12_E_125,F13_E_129,F13_E_130,F14_E_134,F14_E_135,F15_E_139,F15_E_140,F18_E_174,F18_E_175,F19_E_179,F19_E_180,F20_E_184,F20_E_185,F21_E_189,F21_E_190,F22_E_194,F22_E_195,F23_E_199,F23_E_200,F24_E_204,F24_E_205,F25_E_209,F25_E_210,F26_E_214,F26_E_215,F27_E_219,F27_E_220,F28_E_224,S01_E_019,S01_E_045,S01_E_046,S02_E_011,S03_E_029,S01_E_018,S01_E_020,S01_E_023,S01_E_024,S01_E_025,S01_E_026,S01_E_047,S02_E_009,S02_E_010,S02_E_012,S03_E_030,S03_E_031,S03_E_032,S03_E_033,S03_E_034,F08_E_226,F08_E_227,F08_E_228,F08_E_229,F08_E_230,F08_E_231,F08_E_232,F08_E_233,F08_E_234,F08_E_235,F12_E_236,F12_E_237,F12_E_238,F12_E_239,F12_E_240,F12_E_241,F12_E_242,F12_E_243,F12_E_244,F12_E_245
01/01/2023,,0,4985.93,0,0.38,0,111.63,164.26,0.93,53.49,104.66,97.41,,,,,11.05,32.1,5.2,1.7,0.8,1.0,13.9,4.2,1.8,0.7,0.1,63.8,10.0,18.0,0.1,0.4,1.2,0.2,1.2,8.9,9.1,7.4,1.0,9.4,9.2,7.8,31.1,14.0,0.0,2.8,9.2,0.0,29.9,30.7,49.2,12.6,9.7,12.7,0.8,1.0,1.3,0.8,1.0,1.3,42.6,42.3,16.9,46.1,34.1,44.0,37.2,2.4,2.0,16.0,527.7,533.1,921.0,3.3,1.1,14.8,17.3,2.2,1.9,1.0,3.5,6.3,2.0,2.0,2.1,347.9,38.8,32.1,23.8,41.0,26.4,20.3,44.1,9.7,12.8,51.6,9.1,9.9,64.3,58.8,11.0,7.7,6.8,6.0,7.3,22.8,8.0,66.8,8.2,107.9,332.9,108.2,7.0,30.9,26.7,0.0,0.0,60.9,15.8,9.8,9.8,7.9,21.1,14.2,24.0,13.8,12.3,14.1,8.8,13.4,9.4,14.7,7.0,13.0,12.0,13.6,10.8,11.8,22.5,13.0,6.7,11.4,4.7,11.7,7.4,9.7,7.6,7.8,9.4,11.8,7.2,12.7,7.8,12.3,6.9,7.8,6.8,11.8,6.5,14.0,12.2,20.0,6.0,13.1,29.3,39.6,2.0,32.9,88.2,4.5,0.0,13.9,17.1,35.1,21.4,49.0,15.8,49.5,10.4,38.2,5.6,8.8,37.1,9.4,32.1,22.1,31.1,16.0,32.0,53.0,32.0,8.8,33.2,8.2,29.0,10.4,33.2,20.1,32.4,10.5,36.0,39.1,18.8,54.4,26.8,40.9,9.6,46.2,7.2,57.7,7.9,58.2,10.5,27.0,25.0,35.0,10.0,55.4,7.7,33.7,28.3,4.0,50.3,3.8,1.2,73.4,0.0,53.5,52.5,0.0,0.0,0.0,0.6,14.1,4.3,36.4,72.0,138.0,244.2,0.4,0.4,2.1,0.0,1.3,1.2,1.3,1.8,1.6,0.2,8.9,11.1,23.0,0.0,1.2,0.8,1.0,1.3,1.4,0.3,5.5,5.7,5.2
02/01/2023,91.94,0,8384,0,0.37,0,144.97,133.2,30.36,31,105.31,97.81,,,,,12,32.3,13.3,1.1,0.8,1.0,16.2,8.7,1.0,4.9,0.0,64.4,10.0,18.0,0.1,0.9,2.4,0.3,1.1,23.6,23.9,7.6,1.0,17.7,17.7,8.0,29.9,18.0,0.0,2.9,10.8,0.0,68.1,56.3,69.8,10.4,22.3,10.3,0.8,1.0,1.3,0.8,1.0,1.3,42.7,42.1,16.9,46.0,34.1,44.0,37.1,2.2,2.0,16.1,482.2,488.6,831.0,3.4,1.1,13.1,13.4,40.2,35.8,1.0,5.2,21.9,40.4,43.4,45.4,402.8,176.9,114.7,107.2,138.5,130.9,115.2,140.6,89.0,82.5,92.3,91.4,69.4,69.2,106.3,88.1,81.5,76.3,69.4,80.6,66.2,76.2,140.8,80.3,143.7,336.8,119.8,6.9,30.9,29.1,0.0,0.0,61.0,16.1,9.0,11.0,7.2,56.6,11.8,30.0,9.2,14.7,11.9,12.2,9.6,13.6,10.3,8.0,9.0,26.0,11.0,27.0,8.0,27.0,10.0,16.0,9.0,12.0,10.0,19.0,8.1,12.3,9.4,11.1,9.2,9.8,9.3,10.2,9.7,8.1,7.2,10.2,9.2,10.5,11.0,13.1,18.0,6.0,10.0,29.0,39.0,3.0,122.3,91.7,6.9,0.0,14.6,24.8,35.9,25.9,87.9,33.4,56.8,20.6,43.9,38.4,11.2,59.9,11.6,62.9,24.9,57.9,24.0,79.0,58.0,79.0,10.0,91.0,12.0,75.0,11.0,78.0,24.0,67.0,13.0,78.9,41.1,32.2,58.5,41.2,42.1,25.4,50.8,24.8,64.3,28.1,59.8,36.5,27.1,41.0,37.0,42.0,62.0,15.0,35.0,28.0,4.5,39.0,3.7,1.2,82.6,0.0,64.0,52.0,0.0,0.0,0.0,0.6,14.7,4.4,60.6,68.8,143.0,243.9,0.6,0.4,8.5,0.0,1.2,1.8,1.2,1.7,1.4,0.2,57.4,47.3,27.1,0.0,1.2,0.9,1.0,1.3,2.3,0.6,33.9,37.1,5.3
03/01/2023,14.93,0,8198.43,0,0.37,0,182.93,116.44,43.61,28.06,105.96,98.63,,,,,11.27,32.3,16.4,1.1,0.9,1.0,13.5,9.2,1.1,5.5,0.0,63.5,10.0,18.0,0.1,0.7,2.7,0.3,1.1,31.0,30.4,7.8,1.0,21.3,21.2,15.3,30.0,21.0,0.0,3.3,14.9,0.0,85.0,69.4,85.0,10.0,35.0,10.0,0.8,0.9,1.2,0.8,1.0,1.4,42.6,41.4,16.9,46.1,34.1,44.0,37.2,2.1,2.0,16.0,480.6,486.8,833.0,3.3,1.1,12.2,12.5,43.5,41.8,1.0,6.9,25.5,42.3,47.3,50.7,389.1,180.8,105.4,121.3,127.3,123.5,104.1,139.3,80.7,82.1,76.5,91.1,70.0,80.5,97.0,90.2,82.0,75.0,70.5,80.9,67.9,76.8,251.6,114.6,148.3,379.1,113.8,7.5,31.0,29.9,0.0,0.0,62.9,16.1,10.2,11.2,8.0,55.0,11.0,30.0,10.0,17.0,10.0,14.0,9.0,14.0,11.0,8.0,9.9,23.0,12.0,22.2,9.6,27.3,10.4,15.8,9.3,12.4,10.1,16.5,9.1,13.9,11.0,15.0,8.0,11.0,7.0,12.0,9.0,9.0,8.0,12.0,8.0,10.0,10.0,12.7,18.9,5.3,11.5,26.6,40.0,2.2,93.1,95.8,6.1,0.0,14.8,22.8,39.3,26.7,77.3,36.0,66.0,22.0,45.0,44.0,13.0,70.0,14.0,66.0,27.0,61.0,28.0,86.0,58.3,71.6,11.2,80.0,12.2,72.4,12.4,78.1,23.6,60.1,12.5,75.6,50.0,36.0,61.0,46.0,47.0,34.0,59.0,30.0,67.0,30.0,63.0,46.0,28.0,44.0,40.0,73.1,61.6,13.2,34.4,28.1,4.6,35.7,4.3,1.2,84.6,0.0,63.1,51.4,0.0,0.0,0.0,0.7,14.3,4.6,74.8,74.0,141.0,243.1,0.6,0.4,7.2,0.0,1.2,2.1,1.5,1.9,2.4,0.2,59.8,35.8,24.4,0.0,1.1,0.8,1.0,1.3,3.2,0.5,21.0,24.6,5.3
04/01/2023,,0,8809.57,0,0.37,0,185.26,123.63,38.32,39.68,106.38,98.99,,,,,11.73,32.2,21.1,1.1,0.9,1.0,14.7,11.3,1.1,7.5,0.0,63.0,10.0,17.0,0.1,0.8,3.6,0.3,1.1,30.4,29.1,7.6,1.0,27.2,26.7,11.6,31.0,21.0,0.0,3.2,15.2,0.0,84.0,83.6,89.0,10.0,35.0,8.0,0.8,0.9,1.3,0.8,1.0,1.3,42.7,41.4,16.9,46.0,34.1,44.0,37.0,7.6,2.0,16.1,483.6,489.8,833.0,3.3,1.1,12.3,12.5,44.6,42.7,1.0,5.9,28.0,43.6,48.6,53.8,366.3,173.2,95.3,116.1,112.3,114.9,63.3,123.8,78.6,79.8,76.7,89.4,69.9,69.7,125.4,84.9,81.0,72.8,61.0,79.6,79.5,74.7,115.0,27.7,141.2,356.8,121.6,6.9,32.0,30.5,0.0,0.0,63.2,16.1,11.1,11.1,7.7,52.0,11.0,27.0,9.0,17.0,11.0,13.0,10.0,13.0,11.0,8.0,8.1,22.0,11.0,21.8,9.3,28.3,10.2,17.1,9.2,11.5,10.2,19.3,8.1,13.9,9.7,17.2,8.4,10.0,8.0,11.0,9.0,9.0,8.0,13.0,8.0,11.0,11.0,12.5,18.1,5.7,9.5,30.4,40.0,2.8,151.2,92.9,7.2,0.0,15.0,26.2,39.6,27.9,96.5,28.3,66.1,18.7,44.0,43.0,12.0,68.0,12.0,68.0,25.0,55.0,29.0,74.0,60.7,76.4,11.9,88.1,13.6,81.9,11.6,76.9,24.7,69.2,12.7,79.2,47.6,34.7,60.8,45.2,49.5,32.0,57.0,26.0,68.0,40.0,63.0,41.0,27.0,43.0,39.0,85.9,73.4,19.8,34.6,27.9,4.4,55.4,3.9,1.5,100.4,0.0,68.9,51.6,0.0,0.0,0.0,1.9,14.6,4.4,75.2,73.1,150.0,243.9,0.7,0.4,8.2,0.0,1.2,1.9,1.1,1.8,2.2,0.2,63.2,37.5,25.8,0.0,1.1,0.9,1.0,1.3,3.4,0.6,26.3,31.0,5.4
05/01/2023,82.77,0,7624,0,0.37,0,160.04,123.63,38.32,39.68,106.38,98.99,,,,,12,32.5,17.3,1.1,0.8,1.0,16.7,13.8,1.0,8.2,0.0,63.1,11.0,19.0,0.1,0.6,3.7,0.4,1.2,16.9,15.4,8.1,1.0,15.4,16.1,13.4,32.0,20.0,0.0,3.0,14.0,0.0,53.0,56.0,75.0,11.0,22.0,10.0,0.8,1.0,1.3,0.8,1.0,1.3,42.7,41.4,16.9,46.0,34.1,44.0,37.1,3.8,2.0,16.1,484.5,490.5,876.0,3.2,1.1,37.7,46.7,46.3,43.6,1.0,5.9,26.6,44.9,48.7,50.8,370.6,173.3,70.3,76.3,107.6,82.7,57.3,86.6,57.8,50.0,48.4,49.5,43.1,66.0,80.0,52.3,47.6,45.1,34.6,43.9,52.6,43.0,104.2,54.1,145.1,389.1,125.1,7.5,37.0,30.6,0.0,0.0,61.8,15.9,10.7,12.7,7.3,63.0,12.0,24.0,10.0,15.0,11.0,14.0,10.0,13.0,11.0,8.0,10.0,24.0,12.0,14.0,7.1,26.5,9.4,19.1,8.5,14.1,9.8,23.2,7.9,17.2,8.3,18.8,6.7,11.0,10.0,12.0,9.0,8.0,8.0,12.0,8.0,11.0,11.0,13.7,19.0,6.0,11.0,29.0,41.0,2.0,121.0,80.3,5.7,0.0,15.3,32.0,39.1,27.4,95.2,37.7,67.9,19.3,46.0,35.0,13.0,65.0,12.0,61.0,28.0,52.0,28.0,68.0,64.0,61.0,11.0,89.9,13.3,77.6,13.0,79.0,24.7,73.7,13.8,74.2,49.4,34.3,61.2,43.8,45.5,26.0,60.0,21.0,71.0,30.0,67.0,34.0,30.0,40.0,39.0,56.0,68.0,18.0,37.0,29.0,4.1,48.0,3.9,1.3,105.0,0.0,66.0,54.0,0.0,0.0,0.0,2.9,15.1,4.1,79.0,73.1,152.0,254.0,0.6,0.4,7.1,0.0,1.2,1.6,1.0,1.6,2.9,0.2,41.4,21.0,16.0,0.0,1.1,0.8,0.9,1.3,3.4,0.6,26.3,31.0,5.4
06/01/2023,32.59,0,7156,0,0.38,0,107.17,139.37,38.32,39.68,105.52,98.64,,,,,12,33.2,3.1,1.1,0.8,1.0,13.2,3.2,1.0,0.3,0.0,62.9,9.0,18.0,0.1,0.3,0.9,0.2,1.2,28.6,29.9,7.2,1.0,26.1,26.4,7.4,30.0,13.0,0.0,2.8,8.0,0.0,86.0,73.0,48.0,10.0,10.0,9.0,0.8,0.9,1.3,0.7,1.0,1.3,42.7,41.4,16.9,46.0,34.1,44.0,37.1,2.8,2.0,16.1,480.5,487.0,830.0,3.2,1.1,15.1,11.2,2.4,2.1,1.0,3.5,6.4,2.0,2.3,2.1,373.0,169.4,110.5,94.9,119.3,106.3,103.9,117.4,81.1,78.0,77.8,99.5,71.4,81.8,103.5,89.6,82.7,73.7,71.3,79.8,79.6,76.6,141.7,84.8,134.3,389.0,110.1,7.0,32.0,25.0,0.0,0.0,62.0,16.0,11.0,9.0,7.0,8.0,11.0,8.0,10.0,13.0,11.0,7.0,9.0,9.0,10.0,7.0,9.0,14.0,11.0,10.0,9.0,23.0,10.0,6.0,8.0,4.0,10.0,8.0,8.0,6.0,9.0,9.0,7.0,6.0,9.0,7.0,9.0,7.0,8.0,6.0,8.0,6.0,11.0,12.0,18.0,6.0,11.0,28.0,39.0,3.0,130.7,85.0,2.0,0.0,13.0,1.0,35.0,17.0,38.0,17.0,35.0,15.0,40.0,19.0,8.0,36.0,10.0,38.0,24.0,38.0,17.0,47.0,53.0,40.0,8.0,42.0,11.0,43.0,10.0,38.0,22.0,37.0,11.0,41.0,39.0,17.0,53.0,28.0,40.0,11.0,44.0,12.0,59.0,18.0,55.0,19.0,28.0,35.0,36.0,24.0,52.0,6.0,34.0,28.0,4.6,14.0,3.0,1.0,80.0,0.0,63.0,51.0,0.0,0.0,0.0,0.6,14.0,5.0,29.0,69.0,133.0,244.0,0.7,0.3,1.7,0.0,1.2,2.1,1.1,1.6,1.7,0.2,62.3,30.7,16.1,0.0,1.2,0.9,1.1,1.3,3.4,0.6,26.3,31.0,5.4
07/01/2023,32.55,0,6900,0,0.38,0,107.17,166.64,0.92,39.68,104.98,97.72,,,,,11,31.0,3.1,1.1,0.8,1.0,12.6,3.2,1.0,0.3,0.0,62.6,10.0,17.0,0.1,0.2,0.9,0.2,1.1,30.2,31.0,6.7,1.0,25.1,26.2,8.3,30.0,14.0,0.0,2.6,8.0,0.0,85.0,74.0,47.0,10.0,10.0,10.0,0.8,1.0,1.3,0.7,1.0,1.3,42.6,41.4,16.9,46.0,34.1,43.9,37.1,3.0,2.0,16.0,480.9,487.0,832.0,3.2,1.1,12.1,11.6,2.1,2.4,1.0,3.5,7.0,2.0,2.4,2.2,350.2,167.1,106.7,95.1,114.5,107.3,78.7,109.1,78.6,76.7,78.5,96.9,70.5,77.8,115.2,90.2,80.9,72.6,56.6,79.1,77.2,73.1,77.6,44.6,121.1,367.0,109.7,7.0,31.0,27.0,0.0,0.0,62.0,14.0,12.0,10.0,7.0,7.0,11.0,7.0,9.0,12.0,11.0,8.0,10.0,9.0,11.0,6.0,9.0,13.0,11.0,10.0,8.0,23.0,10.0,6.0,9.0,4.0,9.0,7.0,8.0,7.0,11.0,9.0,9.0,6.0,8.0,7.0,9.0,6.0,8.0,7.0,9.0,7.0,10.0,12.0,17.0,5.0,10.0,28.0,40.0,2.0,87.5,63.0,7.0,0.0,14.0,22.0,34.0,17.0,37.0,14.0,34.0,15.0,38.0,19.0,8.0,36.0,10.0,40.0,22.0,38.0,16.0,46.0,54.0,40.0,9.0,41.0,8.0,42.0,10.0,39.0,22.0,37.0,10.0,39.0,38.0,15.0,53.0,26.0,38.0,13.0,43.0,12.0,57.0,20.0,55.0,18.0,27.0,36.0,36.0,25.0,52.0,7.0,34.0,27.0,4.6,15.0,4.0,1.0,82.0,0.0,63.0,51.0,0.0,0.0,0.0,0.6,14.0,4.0,30.0,72.0,136.0,244.0,0.6,0.4,6.1,0.0,1.2,1.8,1.1,1.7,1.7,0.2,57.8,33.9,14.3,0.0,1.1,0.9,1.0,1.4,3.4,0.6,26.3,31.0,5.4
08/01/2023,10.18,0,4740,0,0.38,0,107.17,163.33,0.92,39.68,104.98,97.63,,,,,11,31.4,3.0,1.0,0.8,1.0,12.8,3.1,1.0,0.3,0.0,63.1,10.0,18.0,0.1,0.3,0.6,0.1,1.2,1.9,1.9,6.1,1.0,1.9,3.4,15.4,29.0,13.0,0.0,2.6,7.0,0.0,10.0,10.0,41.0,14.0,3.0,13.0,0.7,0.9,1.3,0.8,1.0,1.2,42.7,41.4,16.9,46.0,34.1,43.9,37.1,5.6,2.0,16.1,532.1,537.5,929.0,3.2,1.1,12.2,11.9,2.3,2.2,1.0,3.5,5.9,2.0,2.2,3.0,305.3,48.3,49.4,21.6,42.1,27.3,7.3,33.3,9.3,12.3,8.1,8.4,9.0,75.8,54.0,15.3,7.2,6.9,5.8,7.4,17.4,7.8,53.1,6.6,107.8,158.0,111.8,7.0,31.0,26.0,0.0,0.0,61.0,15.0,14.0,9.0,9.0,6.0,15.0,7.0,14.0,12.0,14.0,7.0,13.0,9.0,15.0,7.0,13.0,13.0,15.0,10.0,13.0,22.0,14.0,7.0,13.0,4.0,13.0,8.0,11.0,7.0,15.0,8.0,12.0,6.0,13.0,7.0,13.0,6.0,8.0,6.0,11.0,6.0,15.0,12.0,20.0,6.0,14.0,29.0,39.0,2.0,28.0,79.0,6.0,0.0,14.0,1.0,35.0,6.0,37.0,3.0,33.0,3.0,38.0,6.0,8.0,29.0,8.0,32.0,20.0,31.0,16.0,33.0,54.0,31.0,9.0,31.0,8.0,27.0,11.0,31.0,20.0,31.0,10.0,31.0,38.0,4.0,51.0,26.0,38.0,3.0,43.0,4.0,57.0,5.0,54.0,6.0,27.0,25.0,34.0,15.0,50.0,3.0,35.0,28.0,4.5,14.0,4.0,2.0,85.0,0.0,46.0,51.0,0.0,0.0,0.0,0.6,15.0,4.0,31.0,70.1,136.0,243.0,0.7,0.4,6.7,0.0,1.2,1.3,1.1,1.7,2.4,0.2,29.2,7.2,13.0,0.0,1.1,0.9,1.0,1.4,3.4,0.6,24.5,28.9,5.4
09/01/2023,,0,8492,0,0.38,0,140.23,130.48,29.24,22.49,100.78,93.42,,,,,12,32.5,11.9,1.1,0.8,1.0,16.0,8.5,1.0,4.1,0.0,70.7,10.0,18.0,0.1,0.9,3.2,0.5,1.1,30.9,30.8,8.1,1.0,26.0,27.5,26.3,31.0,25.0,0.0,3.5,17.0,0.0,87.0,100.0,88.0,10.0,30.0,9.0,0.8,1.0,1.3,0.8,1.1,1.7,42.6,41.4,16.9,46.1,34.1,43.9,37.4,2.7,2.0,16.1,484.8,491.6,833.0,3.2,1.1,31.2,13.7,43.2,37.9,1.0,5.4,33.4,45.0,58.6,56.3,381.6,178.8,118.8,122.8,139.4,135.8,94.4,117.1,88.5,83.7,89.4,106.2,71.0,70.7,119.6,87.2,80.8,73.5,71.5,79.8,57.9,76.3,135.7,78.7,145.1,236.0,124.3,7.0,30.0,29.0,0.0,0.0,59.0,15.0,11.0,11.0,7.0,75.0,11.0,35.0,9.0,21.0,11.0,17.0,10.0,16.0,10.0,9.0,9.0,28.0,12.0,20.0,8.0,28.0,10.0,20.0,9.0,21.0,10.0,24.0,8.0,21.0,11.0,23.0,8.0,14.0,9.0,13.0,8.0,11.0,7.0,13.0,8.0,12.0,10.0,23.0,18.0,6.0,11.0,28.0,40.0,3.0,94.1,92.0,4.0,0.0,15.0,1.0,37.0,27.0,113.0,32.0,83.0,22.0,52.0,41.0,13.0,68.0,18.0,70.0,30.0,62.0,25.0,81.0,59.0,73.0,11.0,89.0,14.0,71.0,12.0,84.0,25.0,69.0,13.0,83.0,56.0,34.0,66.0,51.0,48.0,29.0,61.0,28.0,68.0,35.0,66.0,43.0,29.0,64.0,37.0,64.0,62.0,18.0,34.0,29.0,4.3,50.0,4.0,1.0,100.0,0.0,66.0,52.0,0.0,0.0,0.0,14.2,14.0,5.0,89.0,75.6,146.0,243.0,0.8,0.4,4.1,0.0,1.3,1.4,1.1,1.7,2.4,1.5,41.0,32.4,13.9,0.0,1.1,0.9,1.0,1.4,3.4,0.3,33.3,43.0,15.0
10/01/2023,87.55,0,7684,0,0.38,0,180.68,104.39,54.06,1.11,106.59,101.74,,,,,13,33.2,23.8,1.1,0.9,1.0,16.8,14.5,1.0,8.8,0.0,61.5,10.0,17.0,0.1,1.2,4.2,0.6,1.2,16.1,16.3,7.2,1.0,14.3,16.6,17.8,31.0,27.0,0.0,3.7,24.0,0.0,55.0,66.0,82.0,10.0,21.0,9.0,0.8,0.9,1.3,0.8,1.0,1.4,42.7,41.5,16.9,46.1,34.2,43.9,37.3,4.4,2.0,16.1,502.7,511.0,830.0,3.1,1.1,38.1,42.9,52.0,45.7,1.0,5.9,31.8,61.1,54.1,55.9,388.1,157.0,81.8,83.7,91.5,89.1,78.8,78.8,74.0,52.0,53.4,53.4,45.0,66.7,79.5,58.0,51.9,47.6,49.5,52.3,55.5,44.2,182.8,53.6,144.6,244.0,122.5,7.0,32.0,32.0,0.0,0.0,62.0,13.0,11.0,12.0,8.0,58.0,11.0,33.0,9.0,22.0,11.0,17.0,9.0,18.0,11.0,9.0,9.0,25.0,11.0,15.0,9.0,29.0,10.0,20.0,9.0,21.0,10.0,23.0,8.0,20.0,10.0,22.0,7.0,14.0,8.0,13.0,9.0,10.0,8.0,12.0,8.0,11.0,11.0,26.0,19.0,8.0,11.0,29.0,39.0,2.0,141.9,89.0,7.0,0.0,15.0,28.0,38.0,27.0,95.0,18.0,84.0,19.0,52.0,33.0,16.0,58.0,12.0,65.0,28.0,56.0,29.0,67.0,58.0,62.0,11.0,85.0,14.0,70.0,12.0,73.0,25.0,62.0,13.0,71.0,54.0,26.0,66.0,37.0,50.0,24.0,61.0,21.0,67.0,27.0,67.0,36.0,29.0,62.0,43.0,65.0,72.0,27.0,35.0,29.0,4.3,68.0,30.0,3.0,99.0,0.0,69.0,53.0,0.0,0.0,0.0,20.0,17.0,4.0,89.0,72.0,161.0,242.0,0.7,0.4,5.2,0.0,1.3,1.1,1.0,1.4,3.5,0.2,29.1,18.4,23.3,0.0,1.1,0.8,1.0,1.2,3.4,0.4,23.3,20.0,8.9
