Sensor_ID,Metered_Zone,CAT01,CAT02,CAT08,CAT10,CAT09,CAT05,CAT06,CAT07,CAT11
F00_E_013,UFFICI,N,N,Y,N,N,N,N,N,N
F00_E_014,UFFICI,N,N,Y,N,N,N,N,N,N
F00_E_069,UFFICI,N,N,Y,N,N,N,N,N,N
F01_E_038,UFFICI,N,N,Y,N,N,N,N,N,N
F01_E_039,UFFICI,N,N,Y,N,N,N,N,N,N
F01_E_040,UFFICI,N,N,Y,N,N,N,N,N,N
F01_E_071,UFFICI,N,N,Y,N,N,N,N,N,N
F01_E_072,UFFICI,N,N,Y,N,N,N,N,N,N
F01_E_073,UFFICI,Y,Y,N,N,N,N,N,N,N
F02_E_074,UFFICI,N,N,Y,N,N,N,N,N,N
F02_E_075,UFFICI,N,N,Y,N,N,N,N,N,N
F02_E_076,UFFICI,N,N,Y,N,N,N,N,N,N
F02_E_078,UFFICI,Y,Y,N,N,N,N,N,N,N
F03_E_079,UFFICI,N,N,Y,N,N,N,N,N,N
F03_E_080,UFFICI,N,N,Y,N,N,N,N,N,N
F03_E_081,UFFICI,N,N,Y,N,N,N,N,N,N
F03_E_083,UFFICI,Y,Y,N,N,N,N,N,N,N
F04_E_084,UFFICI,N,N,Y,N,N,N,N,N,N
F04_E_085,UFFICI,N,N,Y,N,N,N,N,N,N
F04_E_086,UFFICI,N,N,Y,N,N,N,N,N,N
F04_E_088,UFFICI,Y,Y,N,N,N,N,N,N,N
F05_E_089,UFFICI,N,N,Y,N,N,N,N,N,N
F05_E_090,UFFICI,N,N,Y,N,N,N,N,N,N
F05_E_091,UFFICI,N,N,Y,N,N,N,N,N,N
F05_E_093,UFFICI,Y,Y,N,N,N,N,N,N,N
F06_E_094,UFFICI,N,N,Y,N,N,N,N,N,N
F06_E_095,UFFICI,N,N,Y,N,N,N,N,N,N
F06_E_096,UFFICI,N,N,Y,N,N,N,N,N,N
F06_E_098,UFFICI,Y,Y,N,N,N,N,N,N,N
F07_E_099,UFFICI,N,N,Y,N,N,N,N,N,N
F07_E_100,UFFICI,N,N,Y,N,N,N,N,N,N
F07_E_101,UFFICI,N,N,Y,N,N,N,N,N,N
F07_E_103,UFFICI,Y,Y,N,N,N,N,N,N,N
F07_E_166,PIANI TIPO 16/17,N,N,N,Y,N,N,N,N,N
F08_E_104,PIANI TIPO 8/12,N,N,N,N,Y,N,N,N,N
F08_E_104GR,PIANI TIPO 8/12,N,N,N,N,N,Y,N,N,N
F08_E_105,PIANI TIPO 8/12,N,N,Y,N,N,N,N,N,N
F08_E_106,PIANI TIPO 8/12,N,N,Y,N,N,N,N,N,N
F08_E_108,PIANI TIPO 8/12,N,N,N,N,N,Y,N,N,N
F08_E_108GR,PIANI TIPO 8/12,N,N,N,N,N,Y,N,N,N
F08_E_227,PIANI TIPO 8/12,Y,Y,N,N,N,N,N,N,N
F08_E_228,PIANI TIPO 8/12,N,N,N,Y,Y,N,N,N,N
F08_E_229,PIANI TIPO 8/12,N,N,N,Y,Y,N,N,N,N
F08_E_230,PIANI TIPO 8/12,N,N,N,Y,N,N,N,N,N
F08_E_231,PIANI TIPO 8/12,N,N,N,N,Y,N,Y,N,N
F08_E_232,PIANI TIPO 8/12,N,N,N,N,Y,N,Y,N,N
F08_E_233,PIANI TIPO 8/12,Y,Y,N,N,N,N,N,N,N
F08_E_234,PIANI TIPO 8/12,Y,Y,N,N,N,Y,N,N,N
F08_E_235,PIANI TIPO 8/12,Y,Y,N,N,N,Y,N,N,N
F09_E_109,UFFICI,N,N,Y,N,N,N,N,N,N
F09_E_110,UFFICI,N,N,Y,N,N,N,N,N,N
F09_E_111,UFFICI,N,N,Y,N,N,N,N,N,N
F09_E_113,UFFICI,Y,Y,N,N,N,N,N,N,N
F10_E_114,UFFICI,N,N,Y,N,N,N,N,N,N
F10_E_115,UFFICI,N,N,Y,N,N,N,N,N,N
F10_E_116,UFFICI,N,N,Y,N,N,N,N,N,N
F10_E_118,UFFICI,Y,Y,N,N,N,N,N,N,N
F11_E_119,UFFICI,N,N,Y,N,N,N,N,N,N
F11_E_120,UFFICI,N,N,Y,N,N,N,N,N,N
F11_E_121,UFFICI,N,N,Y,N,N,N,N,N,N
F11_E_123,UFFICI,Y,Y,N,N,N,N,N,N,N
F12_E_124,PIANI TIPO 8/12,N,N,N,N,Y,N,N,N,N
F12_E_125,PIANI TIPO 8/12,N,N,Y,N,N,N,N,N,N
F12_E_126,PIANI TIPO 8/12,N,N,Y,N,N,N,N,N,N
F12_E_128,PIANI TIPO 8/12,N,N,N,N,N,Y,N,N,N
F12_E_237,PIANI TIPO 8/12,Y,Y,N,N,N,N,N,N,N
F12_E_238,PIANI TIPO 8/12,N,N,N,Y,Y,N,N,N,N
F12_E_239,PIANI TIPO 8/12,N,N,N,Y,Y,N,N,N,N
F12_E_240,PIANI TIPO 8/12,N,N,N,Y,N,N,N,N,N
F12_E_241,PIANI TIPO 8/12,N,N,N,N,Y,N,Y,N,N
F12_E_242,PIANI TIPO 8/12,N,N,N,N,Y,N,Y,N,N
F12_E_243,PIANI TIPO 8/12,Y,Y,N,N,N,N,N,N,N
F12_E_244,PIANI TIPO 8/12,Y,Y,N,N,N,Y,N,N,N
F12_E_245,PIANI TIPO 8/12,Y,Y,N,N,N,Y,N,N,N
F13_E_129,UFFICI,N,N,Y,N,N,N,N,N,N
F13_E_130,UFFICI,N,N,Y,N,N,N,N,N,N
F13_E_131,UFFICI,N,N,Y,N,N,N,N,N,N
F13_E_133,UFFICI,Y,Y,N,N,N,N,N,N,N
F14_E_134,UFFICI,N,N,Y,N,N,N,N,N,N
